"subject","predicate"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/abstract"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/abstract"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/abstract"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/abstract"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/abstract"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/abstract"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/abstract"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/abstract"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://purl.org/linguistics/gold/hypernym"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://www.w3.org/ns/prov#wasDerivedFrom"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/wikiPageLength"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/address"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/address"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/fareZone"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/openingDate"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/openingYear"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/owner"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/owningOrganisation"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://dbpedia.org/ontology/type"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://xmlns.com/foaf/0.1/isPrimaryTopicOf"
"http://dbpedia.org/resource/Edgar_Quinet_(Paris_Métro)","http://www.w3.org/2003/01/geo/wgs84_pos#geometry"
